Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Payment_of_Min_Amount_NM,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments,Credit_Score
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.219481,-0.958323,0.125465,-0.453974,2,-0.532638,-1.067786,0.441210,-0.518436,-0.635331,-0.426754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.489308,-1.031523,0.125465,-0.453974,2,-0.532638,-0.067061,0.476344,-0.518436,-0.461434,-0.561371,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.219481,-0.958323,0.125465,-0.453974,2,-0.532638,-0.718721,0.461286,-0.518436,-0.629433,-0.336338,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.084568,-1.397521,-0.614900,-0.453974,2,-0.532638,-0.177852,0.471325,-0.518436,-0.088619,-0.856924,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.017111,-1.031523,0.125465,-0.453974,2,-0.532638,-1.463452,0.481363,-0.518436,-0.814419,-0.286677,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-0.882197,-1.397521,-0.170681,-0.453974,2,-0.532638,-0.981896,0.491401,-0.518436,-0.717929,-0.291557,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.219481,-0.811924,0.125465,-0.453974,2,-0.532638,-1.904928,0.501440,-0.518436,-0.185587,-0.754922,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
-0.954090,-0.818365,-0.743778,-0.911945,-0.739324,-1.322459,0.185908,-1.219481,-1.104722,0.125465,-0.453974,2,-0.532638,-1.632160,0.476344,-0.518436,-0.890816,-0.206313,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.397521,-0.740762,-0.882529,2,-0.711067,-1.528571,0.983281,-0.749458,-0.525677,0.337501,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-0.949654,-1.836719,-0.444616,-0.882529,2,-0.711067,1.223496,0.993319,-0.749458,-0.819144,0.404655,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-2.129518,-0.740762,-0.882529,2,-0.711067,0.183004,1.003358,-0.749458,-0.735905,0.317094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.543921,-0.740762,-0.882529,2,-0.711067,1.346929,1.013396,-0.749458,-0.548573,0.313276,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.836719,-0.592689,-0.882529,2,-0.711067,0.525467,1.023434,-0.749458,-0.407080,0.212746,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.983119,-0.740762,-0.882529,2,-0.711067,0.213492,1.033473,-0.749458,-0.804972,0.389747,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.397521,-0.740762,-0.882529,2,-0.711067,-0.225943,1.043511,-0.749458,-0.682697,0.309433,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2
-0.491146,-0.409289,-0.364582,-1.298280,-0.739324,-0.978059,-1.043098,-1.219481,-1.397521,-0.740762,-0.882529,2,-0.711067,0.126134,1.053550,-0.749458,0.000689,-0.216198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
0.064386,2.406891,2.495221,-1.684616,-0.255695,-0.748460,-0.223761,-1.084568,-0.811924,-0.491999,-0.668252,2,-0.103408,-0.717279,-0.080785,0.964321,-0.231193,3.103882,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
0.064386,2.406891,2.495221,-1.684616,-0.255695,-0.748460,-0.223761,-0.544914,-1.104722,-0.491999,-0.668252,2,-0.103408,1.839232,-0.070747,0.964321,0.064783,2.889158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
0.064386,2.406891,2.495221,-1.684616,-0.255695,-0.748460,-0.223761,-0.882197,-0.958323,0.100292,-0.668252,2,-0.103408,-1.126943,-0.060708,0.964321,2.812814,1.521353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
0.064386,2.406891,2.495221,-1.684616,-0.255695,-0.748460,-0.223761,-0.882197,-1.251122,-0.195854,-0.668252,2,-0.103408,1.409249,-0.040632,0.964321,2.785217,0.124078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
